CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
3647,,5,,2621,pwning yer account and fixin&#39; yer permissions, OpenCTF 2016 ,CTFtime.org / OpenCTF 2016 / pwning yer account and fixin&#39; yer permissions / Writeup
1287,http://ctfcrew.org/writeup/82,,,1267,ASIS calc, ASIS CTF Finals 2014 ,CTFtime.org / ASIS CTF Finals 2014 / ASIS calc / Writeup
4524,https://github.com/burlingpwn/writeups/tree/master/EKOPARTY-CTF-2016/Misc/Congested%20service,,misc,3003,Congested service, EKOPARTY CTF 2016 ,CTFtime.org / EKOPARTY CTF 2016 / Congested service / Writeup
9851,https://github.com/ByteBandits/writeups/tree/master/blaze-ctf-2018/re/smokemebaby/sudhackar,4,,5982,smokemebaby, Blaze CTF 2018 ,CTFtime.org / Blaze CTF 2018 / smokemebaby / Writeup
9606,https://github.com/DancingSimpletons/writeups/blob/master/sunshinectf-2018/search-box.md,5,,5783,Search Box, Sunshine CTF 2018 ,CTFtime.org / Sunshine CTF 2018 / Search Box / Writeup
7090,https://b0tchsec.com/2017/sha2017/sha2017-junior/zipfileone,,,4420,Junior - Zipfile One, SHA2017 CTF ,CTFtime.org / SHA2017 CTF / Junior - Zipfile One / Writeup
3082,,1,,2275,Artifact, ångstromCTF 2016 ,CTFtime.org / ångstromCTF 2016 / Artifact / Writeup
1879,https://github.com/p4-team/ctf/tree/master/2015-10-10-asisfin/re_150_asishash#eng-version,,reverse engineering,1711,ASIS Hash, ASIS CTF Finals 2015 ,CTFtime.org / ASIS CTF Finals 2015 / ASIS Hash / Writeup
7832,https://github.com/ymgve/ctf-writeups/tree/master/hacklu2017/rev350-lostkey,,,4777,LostKey, Hack.lu CTF 2017 ,CTFtime.org / Hack.lu CTF 2017 / LostKey / Writeup
768,http://delogrand.blogspot.com/2013/09/csaw-ctf-quals-reversing-400-keygenme32.html,,,776,Reversing 400, CSAW CTF Qualification Round 2013 ,CTFtime.org / CSAW CTF Qualification Round 2013 / Reversing 400 / Writeup
1621,https://0x90r00t.com/2015/09/07/mma-2015-stegano-nagoya-castle-write-up/,,,1616,Nagoya Castle, MMA CTF 1st 2015 ,CTFtime.org / MMA CTF 1st 2015 / Nagoya Castle / Writeup
10348,https://mhackeroni.it/archive/2018/06/30/google-ctf-2018-dogestore.html,,,6226,DogeStore, Google Capture The Flag 2018 (Quals) ,CTFtime.org / Google Capture The Flag 2018 (Quals) / DogeStore / Writeup
808,http://deepinsecurity.blogspot.com/2013/10/sharif-ctf-quals-2013-exploiting-200.html,,,812,Exploit 200, Sharif University CTF 2013 ,CTFtime.org / Sharif University CTF 2013 / Exploit 200 / Writeup
4090,https://github.com/TeamContagion/CTF-Write-Ups/blob/master/ASIS-Finals-2016/Licensable/readme.md,3,,2789, Licensable , ASIS CTF Finals 2016 ,CTFtime.org / ASIS CTF Finals 2016 /  Licensable  / Writeup
2453,https://github.com/p4-team/ctf/tree/master/2016-02-05-sharif/misc_100_seccoding1,,,2051,Sec-Coding 1, Sharif University CTF 2016 ,CTFtime.org / Sharif University CTF 2016 / Sec-Coding 1 / Writeup
626,http://deepinsecurity.blogspot.com/2013/08/asis-ctf-2013-forensics-75-rm-rf.html,,,721,rm -rf, ASIS CTF Finals 2013 ,CTFtime.org / ASIS CTF Finals 2013 / rm -rf / Writeup
1837,https://github.com/p4-team/ctf/tree/master/2015-10-02-dctf/re_300_lbs_checker#eng-version,,,1703,LBS Checker (Reverse 300), Defcamp CTF Qualification 2015 ,CTFtime.org / Defcamp CTF Qualification 2015 / LBS Checker (Reverse 300) / Writeup
3462,https://bobacadodl.gitbooks.io/tjctf-2016-writeups/content/znzarmt_mvd_hproo_10_pts.html,,,2461,Znzarmt Mvd Hproo, TJCTF 2016 ,CTFtime.org / TJCTF 2016 / Znzarmt Mvd Hproo / Writeup
2619,http://losfuzzys.github.io/writeup/2016/02/02/hackim2016-unickle200/,,,1998,Unicle (Web 2), HackIM 2016 ,CTFtime.org / HackIM 2016 / Unicle (Web 2) / Writeup
647,http://koala.cs.pub.ro/hexcellents/wiki/writeups/asis_rsang,,,738,RSANG, ASIS CTF Finals 2013 ,CTFtime.org / ASIS CTF Finals 2013 / RSANG / Writeup
5195,http://quangntenemy.blogspot.com/2016/12/3ds-ctf-2016.html,5,stego,3270,0liver &quot;Imaged&quot;," The 318br, DESEC, and SucuriHC Capture The Flag (3DSCTF) ","CTFtime.org / The 318br, DESEC, and SucuriHC Capture The Flag (3DSCTF) / 0liver &quot;Imaged&quot; / Writeup"
4288,http://poning.me/2016/09/29/tutorial/,,,2815,Tutorial, CSAW CTF Qualification Round 2016 ,CTFtime.org / CSAW CTF Qualification Round 2016 / Tutorial / Writeup
10286,,5,xor,6251,Beginner&#39;s Quest - Admin UI2, Google Capture The Flag 2018 (Quals) ,CTFtime.org / Google Capture The Flag 2018 (Quals) / Beginner&#39;s Quest - Admin UI2 / Writeup
